Robots,Duracion,Prueba,Percentil,Distancia,Peligrosidad,Cobertura,%Cobertura
2,15,6,50,837.4011537017761,17.055000000000003,268.0,46.52777777777778
2,15,6,75,865.685424949238,14.0,337.0,58.50694444444444
2,15,6,100,997.4011537017761,21.259999999999998,345.0,59.895833333333336
2,15,7,25,647.6955262170047,11.004999999999999,224.0,38.88888888888889
2,15,7,50,885.685424949238,15.894999999999998,285.0,49.47916666666667
2,15,7,75,1123.6753236814714,17.215,303.0,52.604166666666664
2,15,7,100,1163.6753236814714,21.04500000000001,323.0,56.076388888888886
2,15,8,25,692.5483399593904,11.124999999999998,211.0,36.63194444444444
2,15,8,50,724.2640687119285,12.414999999999997,279.0,48.4375
2,15,8,75,1050.5382386916237,17.27000000000001,351.0,60.9375
2,15,8,100,925.685424949238,18.540000000000003,376.0,65.27777777777779
2,15,9,25,113.13708498984761,1.7400000000000002,14.0,2.430555555555556
2,15,9,50,732.5483399593904,12.18,248.0,43.05555555555556
2,15,9,75,1370.5382386916237,28.964999999999996,354.0,61.458333333333336
2,15,9,100,1516.812408671319,30.395000000000003,365.0,63.36805555555556
2,15,10,25,807.6955262170047,15.439999999999996,223.0,38.71527777777778
2,15,10,50,897.4011537017761,14.7,281.0,48.78472222222222
2,15,10,75,1263.6753236814714,24.13499999999999,390.0,67.70833333333334
2,15,10,100,1331.9595949289333,26.495,437.0,75.86805555555556
2,15,11,25,1097.4011537017761,21.20500000000001,252.0,43.75
2,15,11,50,937.4011537017761,16.185,338.0,58.68055555555556
2,15,11,75,1111.9595949289333,19.334999999999997,374.0,64.93055555555556
2,15,11,100,1142.2539674441618,24.405,385.0,66.84027777777779
2,15,12,25,667.6955262170047,10.555,222.0,38.54166666666667
2,15,12,50,697.4011537017761,12.170000000000002,283.0,49.13194444444444
2,15,12,75,824.2640687119285,15.200000000000003,300.0,52.083333333333336
2,15,12,100,772.5483399593904,14.375,365.0,63.36805555555556
2,15,13,25,873.9696961966999,14.764999999999999,193.0,33.50694444444444
2,15,13,50,897.4011537017761,19.035,231.0,40.10416666666667
2,15,13,75,965.685424949238,16.115000000000002,295.0,51.21527777777778
